trigram,trigram_frequency
کہیں اُس کو,22
کے دیکھ لیا,12
ہی کیوں نہ,11
کیوں نہ ہو,11
نہیں ہوں میں,9
کو دیکھتے ہیں,9
میں خاک نہیں,8
اور بھی ہیں,8
نہ ہوتا تو,7
تو کیا ہوتا,7
تسلی نہ ہوا,7
رہی رات بھر,7
درد کی دوا,6
میں ہوں اور,6
ہے یا میرا,6
نسخہ ہائے وفا,6
تیرا ہے یا,6
ہائے راز کا,6
تو نہیں تھا,6
ہے اب اس,6
کیجے ہم نے,6
ایسے نہیں ہوتا,6
چاہا تھا کہ,6
نے چاہا تھا,6
نہیں ہے تو,5
ہوتا تو کیا,5
کچھ تو خدا,5
سے میں نے,5
کر رہا تھا,5
کئے ہوئے پهر,4
میں بھی خیال,4
کیا کم ہے,4
تو خدا تھا,4
خیال بیاباں نورد,4
وفا کر رہا,4
خیال ابھی فرد,4
نہ تھا کچھ,4
بھی خیال بیاباں,4
تو خدا ہوتا,4
جگر کہ ساحل,4
عجب آزاد مرد,4
درد تھا احباب,4
کا یاں ورنہ,4
یاں ورنہ جو,4
میں مرگ کا,4
کہتے ہیں کہ,4
ہے کوئی کشمکش,4
بے دوا پایا,4
پر نہیں آتی,4
کہ ساحل دریائے,4
مزا پایا درد,4
زرد تھا تالیف,4
کا کھٹکا لگا,4
تا جگر کہ,4
عشق کی دل,4
نہ ہوا میں,4
کا درد تھا,4
تالیف نسخہ ہائے,4
ڈبویا مجھ کو,4
دریائے خوں ہے,4
حجاب ہے پردہ,4
لگا ہوا اڑنے,4
دونوں ایک ہیں,4
ہے تو سہی,4
مرگ کا کھٹکا,4
راز کا یاں,4
تو وہی دل,4
جل گیا دل,4
جل گیا میں,4
موت سے پہلے,4
دل کا درد,4
کے پردے میں,4
مرد تھا تھا,4
ہے تو ہی,4
ساحل دریائے خوں,4
میں دونوں ایک,4
دل تا جگر,4
جو حجاب ہے,4
ہے ساز کا,4
بھی اگر گیا,4
پایا درد کی,4
بیاباں نورد تھا,4
نہ پوچھ حال,4
پردہ ہے ساز,4
سے پہلے آدمی,4
گیا تو وہی,4
کی دل بھی,4
کی دوا پائی,4
ہائے وفا کر,4
سے نجات پائے,4
ہے حق مغفرت,4
اصل میں دونوں,4
ابھی فرد فرد,4
ہے پردہ ہے,4
زندگی میں مرگ,4
خوں ہے اب,4
زنداں میں بھی,4
وہی دل کا,4
آدمی غم سے,4
گر نہیں آتی,4
ایک ہیں موت,4
کرے عجب آزاد,4
تھا زندگی میں,4
نورد تھا یہ,4
گل آگے گرد,4
تھا کچھ تو,4
فرد تھا دل,4
تھا جاتی ہے,4
فرد فرد تھا,4
مغفرت کرے عجب,4
اگر گیا تو,4
کی ہے حق,4
غم اصل میں,4
سمجھ رہے ہو,4
ورنہ جو حجاب,4
تھا احباب چارہ,4
جائیں گے کیا,4
غم سے نجات,4
آزاد مرد تھا,4
مشکل ہے کہ,4
تھا تالیف نسخہ,4
خدا ہوتا ڈبویا,4
رہا تھا میں,4
مشکل پسند آیا,4
فرمائیں گے کیا,4
گرد تھا جاتی,4
تھا تھا زندگی,4
رنگ زرد تھا,4
اڑنے سے پیشتر,4
خستہ جاں کی,4
خس و خاشاک,4
محرم نہیں ہے,4
تھا دل تا,4
ہوتا ڈبویا مجھ,4
پہلے آدمی غم,4
جاتی ہے کوئی,4
آگے گرد تھا,4
کھٹکا لگا ہوا,4
سے پیشتر بھی,4
دل بھی اگر,4
نجات پائے کیوں,4
حق مغفرت کرے,4
ہیں موت سے,4
تھا گلیوں میں,4
جاں کی ہے,4
ہوا اڑنے سے,4
نے نہ ہوتا,3
شیشے اچھل رہے,3
پایا غنچہ پھر,3
جلتا ہوں میں,3
مجھے دینا پڑا,3
ترے وعدہ نہ,3
کشمکش اندوہِ عشق,3
پایا عشق سے,3
دشوار پسند سخت,3
ہے یہ وہ,3
شیشہ باز کا,3
لیکن اس قدر,3
جاں گداز کا,3
تصویر کے پردے,3
کا صرفہ ہے,3
دل اگر پڑا,3
اس قدر یعنی,3
پر نمک چھڑکا,3
کا مجھے دینا,3
ہے غیر از,3
یاد آتا ہے,3
تقاضا کہ ہے,3
اس رہگزر میں,3
داد نہ دی,3
میں بھی عریاں,3
میں بھی راضی,3
کفن اسدِ خستہ,3
پر اب دیکھا,3
دار تھا کم,3
دار تھا گلیوں,3
تغافل میں جرأت,3
کرسکے زنداں میں,3
نے کیا مزا,3
دفینہ گہر ہائے,3
کرنے میں بھی,3
یا رب یہ,3
ہائے دراز کا,3
ہائے تیز تیز,3
پایا سادگی و,3
جانتے تھے ہم,3
پایا دل کہاں,3
جرأت آزما پایا,3
دیکھا تو کم,3
ہے ہنوز ناخن,3
دینا پڑا حساب,3
درد کام یاروں,3
کا رنگ شکستہ,3
اب اس رہگزر,3
گل ہائے ناز,3
کس منہ سے,3
نے داد نہ,3
دیوار و در,3
بے کفن اسدِ,3
میرا وگرنہ میں,3
نیم باز کا,3
نیند کیوں رات,3
